Transaction ID;Date;Customer ID;Gender;Age;Product Category;Quantity;Price per Unit;Total Amount
83;2023-12-16 00:00:00.000;CUST083;Male;54;Electronics;2;50;100
84;2023-11-28 00:00:00.000;CUST084;Female;38;Electronics;3;30;90
85;2023-02-06 00:00:00.000;CUST085;Male;31;Clothing;3;50;150
86;2023-11-08 00:00:00.000;CUST086;Male;19;Beauty;3;30;90
87;2023-11-22 00:00:00.000;CUST087;Female;28;Beauty;2;50;100
88;2023-03-29 00:00:00.000;CUST088;Male;56;Clothing;1;500;500
89;2023-10-01 00:00:00.000;CUST089;Female;55;Electronics;4;500;2000
90;2023-05-06 00:00:00.000;CUST090;Female;51;Electronics;1;30;30
91;2023-03-25 00:00:00.000;CUST091;Female;55;Electronics;1;500;500
92;2023-08-25 00:00:00.000;CUST092;Female;51;Electronics;4;30;120
93;2023-07-14 00:00:00.000;CUST093;Female;35;Beauty;4;500;2000
94;2023-05-19 00:00:00.000;CUST094;Female;47;Beauty;2;500;1000
95;2023-11-24 00:00:00.000;CUST095;Female;32;Clothing;2;30;60
96;2023-12-19 00:00:00.000;CUST096;Female;44;Clothing;2;300;600
97;2023-10-13 00:00:00.000;CUST097;Female;51;Beauty;2;500;1000
98;2023-04-23 00:00:00.000;CUST098;Female;55;Beauty;2;50;100
99;2023-12-17 00:00:00.000;CUST099;Female;50;Electronics;4;300;1200
100;2023-06-16 00:00:00.000;CUST100;Male;41;Electronics;1;30;30
101;2023-01-29 00:00:00.000;CUST101;Male;32;Clothing;2;300;600
102;2023-04-28 00:00:00.000;CUST102;Female;47;Beauty;2;25;50
103;2023-01-17 00:00:00.000;CUST103;Female;59;Clothing;1;25;25
104;2023-06-11 00:00:00.000;CUST104;Female;34;Beauty;2;500;1000
105;2023-07-25 00:00:00.000;CUST105;Female;22;Electronics;1;500;500
106;2023-05-18 00:00:00.000;CUST106;Female;46;Clothing;1;50;50
107;2023-02-03 00:00:00.000;CUST107;Female;21;Clothing;4;300;1200
108;2023-04-19 00:00:00.000;CUST108;Female;27;Beauty;3;25;75
109;2023-10-18 00:00:00.000;CUST109;Female;34;Electronics;4;500;2000
110;2023-06-11 00:00:00.000;CUST110;Male;27;Clothing;3;300;900
111;2023-04-19 00:00:00.000;CUST111;Female;34;Electronics;3;500;1500
112;2023-12-02 00:00:00.000;CUST112;Male;37;Clothing;3;500;1500
113;2023-09-13 00:00:00.000;CUST113;Female;41;Electronics;2;25;50
114;2023-07-22 00:00:00.000;CUST114;Female;22;Beauty;4;25;100
115;2023-11-26 00:00:00.000;CUST115;Male;51;Clothing;3;500;1500
116;2023-08-23 00:00:00.000;CUST116;Female;23;Clothing;1;30;30
117;2023-03-15 00:00:00.000;CUST117;Male;19;Electronics;2;500;1000
118;2023-05-16 00:00:00.000;CUST118;Female;30;Electronics;4;500;2000
119;2023-03-13 00:00:00.000;CUST119;Female;60;Clothing;3;50;150
120;2023-05-07 00:00:00.000;CUST120;Male;60;Beauty;1;50;50
121;2023-10-15 00:00:00.000;CUST121;Female;28;Electronics;4;50;200
122;2023-10-03 00:00:00.000;CUST122;Male;64;Electronics;4;30;120
123;2023-05-15 00:00:00.000;CUST123;Female;40;Electronics;2;30;60
124;2023-10-27 00:00:00.000;CUST124;Male;33;Clothing;4;500;2000
125;2023-08-08 00:00:00.000;CUST125;Male;48;Clothing;2;50;100
126;2023-10-26 00:00:00.000;CUST126;Female;28;Clothing;3;30;90
127;2023-07-24 00:00:00.000;CUST127;Female;33;Clothing;2;25;50
128;2023-07-05 00:00:00.000;CUST128;Male;25;Beauty;1;500;500
129;2023-04-23 00:00:00.000;CUST129;Female;21;Beauty;2;300;600
130;2023-03-12 00:00:00.000;CUST130;Female;57;Clothing;1;500;500
131;2023-09-18 00:00:00.000;CUST131;Female;21;Beauty;2;300;600
132;2023-09-10 00:00:00.000;CUST132;Male;42;Electronics;4;50;200
133;2023-02-16 00:00:00.000;CUST133;Male;20;Electronics;3;300;900
134;2023-01-25 00:00:00.000;CUST134;Male;49;Electronics;1;50;50
135;2023-02-26 00:00:00.000;CUST135;Male;20;Clothing;2;25;50
136;2023-03-20 00:00:00.000;CUST136;Male;44;Electronics;2;300;600
137;2023-11-18 00:00:00.000;CUST137;Male;46;Beauty;2;500;1000
138;2023-03-23 00:00:00.000;CUST138;Male;49;Clothing;4;50;200
139;2023-12-15 00:00:00.000;CUST139;Male;36;Beauty;4;500;2000
140;2023-08-05 00:00:00.000;CUST140;Male;38;Electronics;1;30;30
141;2023-11-02 00:00:00.000;CUST141;Female;22;Electronics;1;50;50
142;2023-02-02 00:00:00.000;CUST142;Male;35;Electronics;4;300;1200
143;2023-07-17 00:00:00.000;CUST143;Female;45;Clothing;1;50;50
144;2023-07-15 00:00:00.000;CUST144;Female;59;Beauty;3;500;1500
145;2023-11-02 00:00:00.000;CUST145;Female;39;Clothing;3;25;75
146;2023-08-28 00:00:00.000;CUST146;Male;38;Clothing;4;50;200
147;2023-09-28 00:00:00.000;CUST147;Male;23;Electronics;1;300;300
148;2023-05-09 00:00:00.000;CUST148;Male;18;Clothing;2;30;60
149;2023-10-11 00:00:00.000;CUST149;Male;22;Clothing;3;25;75
150;2023-01-06 00:00:00.000;CUST150;Female;58;Electronics;4;30;120
151;2023-12-15 00:00:00.000;CUST151;Male;29;Clothing;1;50;50
152;2023-02-28 00:00:00.000;CUST152;Male;43;Electronics;4;500;2000
153;2023-12-16 00:00:00.000;CUST153;Male;63;Electronics;2;500;1000
154;2023-10-02 00:00:00.000;CUST154;Male;51;Electronics;3;300;900
155;2023-05-17 00:00:00.000;CUST155;Male;31;Electronics;4;500;2000
156;2023-11-25 00:00:00.000;CUST156;Female;43;Clothing;4;25;100
157;2023-06-24 00:00:00.000;CUST157;Male;62;Electronics;4;500;2000
158;2023-02-27 00:00:00.000;CUST158;Female;44;Electronics;2;300;600
159;2023-05-31 00:00:00.000;CUST159;Male;26;Clothing;4;50;200
160;2023-08-11 00:00:00.000;CUST160;Female;43;Clothing;2;50;100
161;2023-03-22 00:00:00.000;CUST161;Male;64;Beauty;2;500;1000
162;2023-08-21 00:00:00.000;CUST162;Male;39;Clothing;2;30;60
163;2023-01-02 00:00:00.000;CUST163;Female;64;Clothing;3;50;150
164;2023-05-15 00:00:00.000;CUST164;Female;47;Beauty;3;500;1500
165;2023-09-14 00:00:00.000;CUST165;Female;60;Clothing;4;300;1200
166;2023-04-02 00:00:00.000;CUST166;Male;34;Clothing;4;500;2000
167;2023-09-17 00:00:00.000;CUST167;Female;43;Clothing;3;50;150
168;2023-02-24 00:00:00.000;CUST168;Male;53;Clothing;1;300;300
169;2023-11-17 00:00:00.000;CUST169;Male;18;Beauty;3;500;1500
170;2023-06-02 00:00:00.000;CUST170;Female;25;Clothing;2;25;50
171;2023-11-24 00:00:00.000;CUST171;Female;52;Clothing;3;300;900
172;2023-09-17 00:00:00.000;CUST172;Male;32;Beauty;2;25;50
173;2023-11-08 00:00:00.000;CUST173;Male;64;Electronics;4;30;120
174;2023-04-12 00:00:00.000;CUST174;Female;39;Beauty;1;300;300
175;2023-03-20 00:00:00.000;CUST175;Female;31;Electronics;4;25;100
176;2023-07-11 00:00:00.000;CUST176;Female;43;Beauty;2;50;100
177;2023-03-24 00:00:00.000;CUST177;Male;45;Beauty;2;50;100
178;2023-10-04 00:00:00.000;CUST178;Male;40;Clothing;2;30;60
179;2023-09-29 00:00:00.000;CUST179;Male;31;Electronics;1;300;300
180;2023-01-01 00:00:00.000;CUST180;Male;41;Clothing;3;300;900
181;2023-11-03 00:00:00.000;CUST181;Male;19;Electronics;4;300;1200
182;2023-06-15 00:00:00.000;CUST182;Male;62;Beauty;4;30;120
183;2023-09-08 00:00:00.000;CUST183;Female;43;Beauty;3;300;900
184;2023-01-10 00:00:00.000;CUST184;Male;31;Electronics;4;50;200
185;2023-02-27 00:00:00.000;CUST185;Male;24;Clothing;1;25;25
186;2023-07-05 00:00:00.000;CUST186;Male;20;Clothing;4;50;200
187;2023-06-07 00:00:00.000;CUST187;Female;64;Clothing;2;50;100
188;2023-05-03 00:00:00.000;CUST188;Male;40;Clothing;3;25;75
189;2023-01-30 00:00:00.000;CUST189;Male;63;Beauty;1;50;50
190;2023-05-04 00:00:00.000;CUST190;Female;60;Beauty;3;30;90
191;2023-10-18 00:00:00.000;CUST191;Male;64;Beauty;1;25;25
192;2023-02-10 00:00:00.000;CUST192;Male;62;Beauty;2;50;100
193;2023-02-13 00:00:00.000;CUST193;Male;35;Beauty;3;500;1500
194;2023-09-06 00:00:00.000;CUST194;Male;55;Clothing;4;50;200
195;2023-02-05 00:00:00.000;CUST195;Male;52;Clothing;1;30;30
196;2023-09-30 00:00:00.000;CUST196;Female;32;Clothing;3;300;900
197;2023-03-06 00:00:00.000;CUST197;Female;42;Clothing;4;50;200
198;2023-03-07 00:00:00.000;CUST198;Female;54;Beauty;3;300;900
199;2023-12-04 00:00:00.000;CUST199;Male;45;Beauty;3;500;1500
200;2023-09-01 00:00:00.000;CUST200;Male;27;Beauty;3;50;150
201;2023-10-09 00:00:00.000;CUST201;Male;56;Electronics;1;25;25
202;2023-03-26 00:00:00.000;CUST202;Female;34;Clothing;4;300;1200
203;2023-05-16 00:00:00.000;CUST203;Male;56;Clothing;2;500;1000
204;2023-09-28 00:00:00.000;CUST204;Male;39;Beauty;1;25;25
205;2023-11-07 00:00:00.000;CUST205;Female;43;Clothing;1;25;25
206;2023-08-05 00:00:00.000;CUST206;Male;61;Clothing;1;25;25
207;2023-04-19 00:00:00.000;CUST207;Female;42;Beauty;2;25;50
208;2023-10-04 00:00:00.000;CUST208;Female;34;Electronics;4;50;200
209;2023-12-20 00:00:00.000;CUST209;Female;30;Electronics;4;50;200
210;2023-04-13 00:00:00.000;CUST210;Male;37;Electronics;4;50;200
211;2024-01-01 00:00:00.000;CUST211;Male;42;Beauty;3;500;1500
212;2023-06-09 00:00:00.000;CUST212;Male;21;Clothing;3;500;1500
213;2023-07-24 00:00:00.000;CUST213;Male;27;Beauty;3;500;1500
214;2023-12-10 00:00:00.000;CUST214;Male;20;Beauty;2;30;60
215;2023-11-29 00:00:00.000;CUST215;Male;58;Clothing;3;500;1500
216;2023-07-11 00:00:00.000;CUST216;Male;62;Electronics;2;50;100
217;2023-08-13 00:00:00.000;CUST217;Female;35;Electronics;4;50;200
218;2023-09-22 00:00:00.000;CUST218;Male;64;Beauty;3;30;90
219;2023-08-20 00:00:00.000;CUST219;Female;53;Electronics;3;30;90
220;2023-03-03 00:00:00.000;CUST220;Male;64;Beauty;1;500;500
221;2023-05-07 00:00:00.000;CUST221;Male;39;Beauty;2;300;600
222;2023-04-26 00:00:00.000;CUST222;Male;51;Clothing;4;30;120
223;2023-02-02 00:00:00.000;CUST223;Female;64;Clothing;1;25;25
224;2023-06-23 00:00:00.000;CUST224;Female;25;Clothing;1;50;50
225;2023-01-11 00:00:00.000;CUST225;Female;57;Beauty;4;25;100
226;2023-10-29 00:00:00.000;CUST226;Female;61;Clothing;1;50;50
227;2023-10-11 00:00:00.000;CUST227;Male;36;Electronics;2;50;100
228;2023-04-28 00:00:00.000;CUST228;Female;59;Electronics;2;30;60
229;2023-10-29 00:00:00.000;CUST229;Male;58;Beauty;3;30;90
230;2023-04-23 00:00:00.000;CUST230;Male;54;Beauty;1;25;25
231;2023-01-04 00:00:00.000;CUST231;Female;23;Clothing;3;50;150
232;2023-02-06 00:00:00.000;CUST232;Female;43;Beauty;1;25;25
233;2023-12-29 00:00:00.000;CUST233;Female;51;Beauty;2;300;600
234;2023-11-20 00:00:00.000;CUST234;Female;62;Electronics;2;25;50
235;2023-01-31 00:00:00.000;CUST235;Female;23;Electronics;2;500;1000
236;2023-04-28 00:00:00.000;CUST236;Female;54;Clothing;1;25;25
237;2023-02-04 00:00:00.000;CUST237;Female;50;Beauty;2;500;1000
238;2023-01-17 00:00:00.000;CUST238;Female;39;Beauty;1;500;500
239;2023-06-19 00:00:00.000;CUST239;Male;38;Electronics;3;500;1500
240;2023-02-06 00:00:00.000;CUST240;Female;23;Beauty;1;300;300
241;2023-09-21 00:00:00.000;CUST241;Female;23;Electronics;3;25;75
242;2023-05-02 00:00:00.000;CUST242;Male;21;Clothing;1;25;25
243;2023-05-23 00:00:00.000;CUST243;Female;47;Electronics;3;300;900
244;2023-12-09 00:00:00.000;CUST244;Male;28;Beauty;2;50;100
245;2023-09-06 00:00:00.000;CUST245;Male;47;Clothing;3;30;90
246;2023-04-20 00:00:00.000;CUST246;Female;48;Electronics;2;25;50
247;2023-10-04 00:00:00.000;CUST247;Male;41;Electronics;2;30;60
248;2023-03-09 00:00:00.000;CUST248;Male;26;Clothing;3;300;900
249;2023-10-20 00:00:00.000;CUST249;Male;20;Clothing;1;50;50
250;2023-10-23 00:00:00.000;CUST250;Male;48;Electronics;1;50;50
251;2023-08-31 00:00:00.000;CUST251;Female;57;Beauty;4;50;200
252;2023-05-05 00:00:00.000;CUST252;Male;54;Electronics;1;300;300
253;2023-08-31 00:00:00.000;CUST253;Female;53;Clothing;4;500;2000
254;2023-07-28 00:00:00.000;CUST254;Male;41;Electronics;1;500;500
255;2023-04-08 00:00:00.000;CUST255;Male;48;Clothing;1;30;30
256;2023-02-18 00:00:00.000;CUST256;Male;23;Clothing;2;500;1000
257;2023-02-19 00:00:00.000;CUST257;Male;19;Beauty;4;500;2000
258;2023-12-04 00:00:00.000;CUST258;Female;37;Clothing;1;50;50
259;2023-08-09 00:00:00.000;CUST259;Female;45;Clothing;4;50;200
260;2023-07-01 00:00:00.000;CUST260;Male;28;Beauty;2;30;60
261;2023-08-05 00:00:00.000;CUST261;Male;21;Clothing;2;25;50
262;2023-07-30 00:00:00.000;CUST262;Female;32;Beauty;4;30;120
263;2023-08-28 00:00:00.000;CUST263;Male;23;Beauty;2;30;60
264;2023-01-28 00:00:00.000;CUST264;Male;47;Clothing;3;300;900
265;2023-12-11 00:00:00.000;CUST265;Male;55;Clothing;3;300;900
266;2023-12-01 00:00:00.000;CUST266;Female;19;Electronics;2;30;60
267;2023-11-27 00:00:00.000;CUST267;Female;32;Beauty;3;30;90
268;2023-02-20 00:00:00.000;CUST268;Female;28;Electronics;1;30;30
269;2023-02-01 00:00:00.000;CUST269;Male;25;Clothing;4;500;2000
270;2023-07-26 00:00:00.000;CUST270;Male;43;Electronics;1;300;300
271;2023-06-23 00:00:00.000;CUST271;Female;62;Beauty;4;30;120
272;2023-02-25 00:00:00.000;CUST272;Female;61;Electronics;2;50;100
273;2023-05-08 00:00:00.000;CUST273;Female;22;Beauty;1;50;50
274;2023-04-09 00:00:00.000;CUST274;Female;23;Clothing;2;500;1000
275;2023-04-08 00:00:00.000;CUST275;Male;43;Clothing;2;500;1000
276;2023-10-02 00:00:00.000;CUST276;Female;21;Beauty;4;25;100
277;2023-08-18 00:00:00.000;CUST277;Male;36;Clothing;4;25;100
278;2023-03-13 00:00:00.000;CUST278;Female;37;Clothing;4;25;100
279;2023-08-05 00:00:00.000;CUST279;Male;50;Clothing;1;500;500
280;2023-04-04 00:00:00.000;CUST280;Female;37;Clothing;3;500;1500
281;2023-05-23 00:00:00.000;CUST281;Female;29;Beauty;4;500;2000
282;2023-08-25 00:00:00.000;CUST282;Female;64;Electronics;4;50;200
283;2023-05-08 00:00:00.000;CUST283;Female;18;Electronics;1;500;500
284;2023-02-08 00:00:00.000;CUST284;Male;43;Clothing;4;50;200
285;2023-08-15 00:00:00.000;CUST285;Female;31;Electronics;1;25;25
286;2023-10-09 00:00:00.000;CUST286;Male;55;Electronics;2;25;50
287;2023-02-20 00:00:00.000;CUST287;Male;54;Clothing;4;25;100
288;2023-01-26 00:00:00.000;CUST288;Male;28;Clothing;4;30;120
289;2023-11-30 00:00:00.000;CUST289;Male;53;Electronics;2;30;60
290;2023-10-04 00:00:00.000;CUST290;Female;30;Beauty;2;300;600
291;2023-01-08 00:00:00.000;CUST291;Male;60;Clothing;2;300;600
292;2023-02-17 00:00:00.000;CUST292;Male;20;Beauty;4;300;1200
293;2023-05-02 00:00:00.000;CUST293;Male;50;Electronics;3;30;90
294;2023-03-27 00:00:00.000;CUST294;Female;23;Clothing;3;30;90
295;2023-07-28 00:00:00.000;CUST295;Female;27;Beauty;3;300;900
296;2023-09-06 00:00:00.000;CUST296;Female;22;Clothing;4;300;1200
297;2023-09-04 00:00:00.000;CUST297;Female;40;Electronics;2;500;1000
298;2023-04-20 00:00:00.000;CUST298;Male;27;Beauty;4;300;1200
299;2023-07-25 00:00:00.000;CUST299;Male;61;Electronics;2;500;1000
300;2023-01-31 00:00:00.000;CUST300;Female;19;Electronics;4;50;200
301;2023-03-26 00:00:00.000;CUST301;Male;30;Clothing;4;30;120
302;2023-07-14 00:00:00.000;CUST302;Male;57;Beauty;2;300;600
303;2023-01-02 00:00:00.000;CUST303;Male;19;Electronics;3;30;90
304;2023-07-19 00:00:00.000;CUST304;Female;37;Electronics;2;30;60
305;2023-05-16 00:00:00.000;CUST305;Female;18;Beauty;1;30;30
306;2023-08-21 00:00:00.000;CUST306;Male;54;Electronics;1;50;50
307;2023-05-27 00:00:00.000;CUST307;Female;26;Electronics;2;25;50
308;2023-08-05 00:00:00.000;CUST308;Female;34;Beauty;4;300;1200
309;2023-12-23 00:00:00.000;CUST309;Female;26;Beauty;1;25;25
310;2023-10-12 00:00:00.000;CUST310;Female;28;Beauty;1;25;25
311;2023-12-05 00:00:00.000;CUST311;Female;32;Beauty;4;25;100
312;2023-09-07 00:00:00.000;CUST312;Male;41;Clothing;4;30;120
313;2023-03-21 00:00:00.000;CUST313;Female;55;Beauty;3;500;1500
314;2023-04-08 00:00:00.000;CUST314;Male;52;Clothing;4;30;120
315;2023-06-01 00:00:00.000;CUST315;Male;47;Clothing;2;30;60
316;2023-04-22 00:00:00.000;CUST316;Female;48;Clothing;2;25;50
317;2023-01-30 00:00:00.000;CUST317;Male;22;Electronics;3;30;90
318;2023-10-24 00:00:00.000;CUST318;Male;61;Clothing;1;25;25
319;2023-10-05 00:00:00.000;CUST319;Male;31;Clothing;1;500;500
320;2023-02-01 00:00:00.000;CUST320;Female;28;Electronics;4;300;1200
321;2023-06-10 00:00:00.000;CUST321;Female;26;Electronics;2;25;50
322;2023-01-30 00:00:00.000;CUST322;Male;51;Electronics;1;500;500
323;2023-01-26 00:00:00.000;CUST323;Female;29;Beauty;3;300;900
324;2023-10-27 00:00:00.000;CUST324;Female;52;Electronics;3;50;150
325;2023-09-02 00:00:00.000;CUST325;Female;52;Electronics;2;25;50
326;2023-09-15 00:00:00.000;CUST326;Female;18;Clothing;3;25;75
327;2023-09-29 00:00:00.000;CUST327;Male;57;Electronics;3;50;150
328;2023-03-22 00:00:00.000;CUST328;Male;39;Beauty;2;50;100
329;2023-01-30 00:00:00.000;CUST329;Female;46;Electronics;4;25;100
330;2023-09-18 00:00:00.000;CUST330;Female;25;Beauty;4;50;200
331;2023-02-11 00:00:00.000;CUST331;Male;28;Electronics;3;30;90
332;2023-04-06 00:00:00.000;CUST332;Male;58;Electronics;4;300;1200
333;2023-02-05 00:00:00.000;CUST333;Female;54;Electronics;4;300;1200
334;2023-11-01 00:00:00.000;CUST334;Male;31;Electronics;3;300;900
335;2023-02-04 00:00:00.000;CUST335;Female;47;Beauty;4;30;120
336;2023-12-12 00:00:00.000;CUST336;Female;52;Beauty;3;50;150
337;2023-05-01 00:00:00.000;CUST337;Male;38;Clothing;1;500;500
338;2023-07-26 00:00:00.000;CUST338;Male;54;Beauty;2;50;100
339;2023-03-03 00:00:00.000;CUST339;Female;22;Electronics;2;25;50
340;2023-10-19 00:00:00.000;CUST340;Female;36;Clothing;4;300;1200
341;2023-05-07 00:00:00.000;CUST341;Male;31;Clothing;4;50;200
342;2023-10-24 00:00:00.000;CUST342;Female;43;Clothing;4;500;2000
343;2023-11-01 00:00:00.000;CUST343;Male;21;Electronics;2;25;50
344;2023-01-21 00:00:00.000;CUST344;Female;42;Beauty;1;30;30
345;2023-11-14 00:00:00.000;CUST345;Male;62;Electronics;1;30;30
346;2023-02-11 00:00:00.000;CUST346;Male;59;Clothing;2;500;1000
347;2023-08-03 00:00:00.000;CUST347;Male;42;Electronics;1;25;25
348;2023-12-03 00:00:00.000;CUST348;Female;35;Electronics;2;300;600
349;2023-10-26 00:00:00.000;CUST349;Female;57;Beauty;1;50;50
350;2023-10-17 00:00:00.000;CUST350;Male;25;Beauty;3;25;75
351;2023-09-25 00:00:00.000;CUST351;Female;56;Clothing;3;30;90
352;2023-06-11 00:00:00.000;CUST352;Male;57;Electronics;2;500;1000
353;2023-05-14 00:00:00.000;CUST353;Male;31;Electronics;1;500;500
354;2023-04-15 00:00:00.000;CUST354;Female;49;Beauty;4;50;200
355;2023-12-09 00:00:00.000;CUST355;Female;55;Electronics;1;500;500
356;2023-06-10 00:00:00.000;CUST356;Male;50;Electronics;3;500;1500
357;2023-05-03 00:00:00.000;CUST357;Female;40;Electronics;3;25;75
358;2023-05-16 00:00:00.000;CUST358;Female;32;Beauty;1;300;300
359;2023-07-22 00:00:00.000;CUST359;Male;50;Clothing;1;50;50
360;2023-03-09 00:00:00.000;CUST360;Male;42;Clothing;4;25;100
361;2023-12-10 00:00:00.000;CUST361;Female;34;Electronics;4;300;1200
362;2023-11-27 00:00:00.000;CUST362;Male;50;Clothing;1;25;25
363;2023-06-03 00:00:00.000;CUST363;Male;64;Beauty;1;25;25
